"transaction_id","date","customer_id","store_id","product_id","quantity","total_price"
1,2023-08-27,116,6,8496,4,48.53
2,2023-04-20,556,51,7466,1,949.51
3,2023-03-25,633,60,5375,8,745.07
4,2023-04-10,206,85,8782,6,237.71
5,2023-09-06,658,35,2434,5,470.41
6,2023-09-21,86,58,9061,2,703.69
7,2023-08-24,299,46,152,5,686.81
8,2023-05-23,257,50,5005,9,857.50
9,2023-09-04,238,55,9101,5,355.12
10,2023-09-24,839,38,9260,1,290.21
11,2023-02-19,526,28,6867,4,273.69
12,2023-07-03,612,85,4080,6,562.29
13,2023-05-01,407,43,1887,7,504.76
14,2023-03-04,120,79,5757,8,50.27
15,2023-10-25,638,72,2103,10,58.29
16,2023-04-22,635,8,3322,6,118.59
17,2023-02-24,632,52,1723,9,122.03
18,2023-06-04,961,94,8139,9,941.08
19,2023-10-29,239,57,2911,10,433.12
20,2023-08-01,100,61,6216,3,582.70
21,2023-11-10,802,99,2238,7,366.43
22,2023-12-04,89,84,3802,3,242.50
23,2023-06-24,855,94,2552,1,587.86
24,2023-08-24,819,62,6614,4,621.78
25,2023-12-12,212,37,138,10,606.32
26,2024-01-14,713,26,5413,0,359.62
27,2023-06-12,131,72,1105,8,135.03
28,2023-07-03,116,26,2590,4,929.30
29,2023-12-23,212,87,8994,7,528.70
30,2023-08-25,94,76,1818,1,673.49
31,2023-08-31,720,77,6429,1,151.73
32,2023-03-12,66,2,1350,3,398.66
33,2023-09-14,925,5,125,6,118.04
34,2023-03-22,561,46,3768,5,632.96
35,2023-08-14,610,96,5989,9,469.73
36,2023-04-16,331,7,4346,2,908.10
37,2023-07-21,790,99,7329,10,890.96
38,2023-08-16,309,82,9246,4,322.80
39,2023-03-30,795,36,9556,1,370.02
40,2023-08-22,77,82,6602,8,480.29
41,2023-09-10,345,67,632,2,770.59
42,2023-08-14,144,61,2338,3,10.03
43,2023-03-21,237,24,2053,9,942.52
44,2023-12-28,86,21,9800,10,227.87
45,2023-08-22,234,35,7774,5,483.99
46,2023-08-18,692,89,5681,0,155.34
47,2023-11-25,387,15,1857,6,449.52
48,2023-05-14,696,43,8655,7,576.14
49,2023-11-07,603,43,1691,5,993.53
50,2023-12-27,973,14,6536,9,208.80
51,2023-09-23,312,53,9206,1,465.30
52,2023-07-03,141,66,8245,5,555.95
53,2023-04-11,558,17,3205,4,582.55
54,2023-06-21,514,82,5977,10,628.33
55,2023-08-31,266,77,5468,5,37.94
56,2023-11-27,190,67,6900,3,472.12
57,2023-03-03,107,88,4342,4,167.36
58,2023-11-02,791,99,364,1,209.66
59,2023-04-03,962,18,6971,9,792.02
60,2023-02-15,424,74,2440,7,932.98
61,2023-03-19,786,76,528,8,669.44
62,2023-02-22,495,61,1410,1,624.00
63,2023-04-06,364,90,6997,2,39.45
64,2023-04-18,626,77,8240,4,81.39
65,2023-04-26,546,1,3428,1,974.02
66,2023-09-10,118,91,1876,3,777.19
67,2023-10-29,176,22,2583,7,131.07
68,2024-01-16,353,88,9694,9,117.81
69,2023-03-16,713,74,4836,7,272.21
70,2023-06-29,371,20,5428,6,294.78
71,2023-06-20,684,66,3488,4,270.58
72,2023-09-30,27,48,9266,7,112.04
73,2023-08-12,8,84,7227,4,369.15
74,2023-08-16,919,64,1251,7,529.94
75,2023-07-20,858,50,8056,2,154.79
76,2023-10-17,10,15,4493,7,944.47
77,2023-07-20,489,4,8225,4,578.26
78,2023-03-26,628,16,5757,6,143.77
79,2023-03-08,349,63,7214,4,258.57
80,2023-08-09,390,41,443,5,506.23
81,2023-09-07,129,78,3980,5,334.36
82,2023-08-03,692,61,6195,5,350.97
83,2023-02-07,879,71,2346,8,695.02
84,2023-07-15,903,37,6017,6,913.14
85,2023-02-21,11,96,8002,6,73.39
86,2023-12-26,298,68,553,8,183.92
87,2023-07-11,792,67,704,3,331.44
88,2023-09-12,128,71,8478,4,317.38
89,2023-10-06,900,61,3066,7,840.19
90,2023-11-22,559,31,7477,1,412.87
91,2023-01-31,277,96,5361,7,314.45
92,2023-02-25,834,37,1313,0,881.21
93,2024-01-18,496,84,3162,1,453.20
94,2023-08-21,502,23,2663,2,946.18
95,2023-09-04,330,60,5441,10,608.12
96,2023-07-19,238,75,1502,10,461.43
97,2023-12-27,535,33,1760,0,164.23
98,2023-05-22,632,2,1406,7,874.58
99,2023-07-11,833,90,1815,9,646.26
100,2023-09-01,887,78,2699,1,613.10
